순위,제목,가수,앨범
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
3,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
4,LOVE DIVE,IVE (아이브),LOVE DIVE
5,SNEAKERS,ITZY (있지),CHECKMATE
6,POP!,나연 (TWICE),IM NAYEON
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
9,우리들의 블루스,임영웅,IM HERO
10,TOMBOY,(여자)아이들,I NEVER DIE
